country,iso3,who_region,syndrome,total_cases,total_deaths,first_year,last_year,peak_year_cases,mean_annual_cases,mean_cfr,overall_cfr
Argentina,ARG,AMRO,HPS,3373,852,1993,2026,252,99.2,0.2631,0.2526
Belgium,BEL,EURO,HFRS,3526,0,1993,2026,177,103.7,0.0018,0.0
Bolivia,BOL,AMRO,HPS,390,120,1993,2026,24,11.5,0.3329,0.3077
Brazil,BRA,AMRO,HPS,2269,834,1993,2026,174,66.7,0.3766,0.3676
Canada,CAN,AMRO,HPS,119,22,1993,2026,9,3.5,0.3234,0.1849
Chile,CHL,AMRO,HPS,1607,501,1993,2026,115,47.3,0.3203,0.3118
China,CHN,WPRO,HFRS,269007,7999,1993,2026,13594,7912.0,0.0292,0.0297
Colombia,COL,AMRO,HPS,126,25,1993,2026,8,3.7,0.3276,0.1984
Costa Rica,CRI,AMRO,HPS,65,3,1993,2026,4,1.9,0.2733,0.0462
Croatia,HRV,EURO,HFRS,2253,73,1993,2026,107,66.3,0.0379,0.0324
Finland,FIN,EURO,HFRS,47110,127,1993,2026,2450,1385.6,0.003,0.0027
France,FRA,EURO,HFRS,3016,0,1993,2026,143,88.7,0.0026,0.0
Germany,DEU,EURO,HFRS,30022,61,1993,2026,1432,883.0,0.0026,0.002
Greece,GRC,EURO,HFRS,516,5,1993,2026,25,15.2,0.0394,0.0097
Japan,JPN,WPRO,HFRS,323,0,1993,2026,17,9.5,0.019,0.0
Panama,PAN,AMRO,HPS,617,186,1993,2026,46,18.1,0.3267,0.3015
Paraguay,PRY,AMRO,HPS,542,149,1993,2026,35,15.9,0.3065,0.2749
Russia,RUS,EURO,HFRS,210160,5445,1993,2026,12618,6181.2,0.0262,0.0259
Slovenia,SVN,EURO,HFRS,1360,16,1993,2026,70,40.0,0.0229,0.0118
South Korea,KOR,WPRO,HFRS,14543,257,1993,2026,709,427.7,0.0185,0.0177
Sweden,SWE,EURO,HFRS,6826,2,1993,2026,353,200.8,0.0024,0.0003
Taiwan,TWN,WPRO,HFRS,298,0,1993,2026,14,8.8,0.0231,0.0
USA,USA,AMRO,HPS,855,281,1993,2026,58,25.1,0.3528,0.3287
United Kingdom,GBR,EURO,HFRS,340,0,1993,2026,17,10.0,0.0199,0.0
Uruguay,URY,AMRO,HPS,188,34,1993,2026,12,5.5,0.2822,0.1809
