year,month,country,syndrome,confirmed_cases,deaths,case_fatality_rate
2015,1,Argentina,HPS,9,2,0.2222
2015,1,Chile,HPS,1,0,0.0
2015,1,Brazil,HPS,5,1,0.2
2015,1,USA,HPS,1,0,0.0
2015,1,China,HFRS,3490,21,0.006
2015,1,Finland,HFRS,270,1,0.0037
2015,1,Germany,HFRS,18,0,0.0
2015,2,Argentina,HPS,4,1,0.25
2015,2,Chile,HPS,3,1,0.3333
2015,2,Brazil,HPS,3,0,0.0
2015,2,USA,HPS,0,0,0.0
2015,2,China,HFRS,248,1,0.004
2015,2,Finland,HFRS,98,0,0.0
2015,2,Germany,HFRS,39,0,0.0
2015,3,Argentina,HPS,9,3,0.3333
2015,3,Chile,HPS,2,0,0.0
2015,3,Brazil,HPS,3,1,0.3333
2015,3,USA,HPS,2,0,0.0
2015,3,China,HFRS,795,5,0.0063
2015,3,Finland,HFRS,105,0,0.0
2015,3,Germany,HFRS,47,0,0.0
2015,4,Argentina,HPS,21,5,0.2381
2015,4,Chile,HPS,22,8,0.3636
2015,4,Brazil,HPS,6,2,0.3333
2015,4,USA,HPS,0,0,0.0
2015,4,China,HFRS,239,0,0.0
2015,4,Finland,HFRS,43,0,0.0
2015,4,Germany,HFRS,23,0,0.0
2015,5,Argentina,HPS,15,4,0.2667
2015,5,Chile,HPS,22,8,0.3636
2015,5,Brazil,HPS,30,9,0.3
2015,5,USA,HPS,3,1,0.3333
2015,5,China,HFRS,1713,7,0.0041
2015,5,Finland,HFRS,43,0,0.0
2015,5,Germany,HFRS,94,0,0.0
2015,6,Argentina,HPS,33,8,0.2424
2015,6,Chile,HPS,8,2,0.25
2015,6,Brazil,HPS,10,3,0.3
2015,6,USA,HPS,8,2,0.25
2015,6,China,HFRS,1031,6,0.0058
2015,6,Finland,HFRS,49,0,0.0
2015,6,Germany,HFRS,190,0,0.0
2015,7,Argentina,HPS,30,9,0.3
2015,7,Chile,HPS,7,2,0.2857
2015,7,Brazil,HPS,13,4,0.3077
2015,7,USA,HPS,2,0,0.0
2015,7,China,HFRS,397,3,0.0076
2015,7,Finland,HFRS,28,0,0.0
2015,7,Germany,HFRS,130,1,0.0077
2015,8,Argentina,HPS,7,2,0.2857
2015,8,Chile,HPS,18,6,0.3333
2015,8,Brazil,HPS,14,4,0.2857
2015,8,USA,HPS,1,0,0.0
2015,8,China,HFRS,789,3,0.0038
2015,8,Finland,HFRS,40,0,0.0
2015,8,Germany,HFRS,179,1,0.0056
2015,9,Argentina,HPS,6,2,0.3333
2015,9,Chile,HPS,2,0,0.0
2015,9,Brazil,HPS,4,1,0.25
2015,9,USA,HPS,1,0,0.0
2015,9,China,HFRS,276,0,0.0
2015,9,Finland,HFRS,103,0,0.0
2015,9,Germany,HFRS,35,0,0.0
2015,10,Argentina,HPS,6,2,0.3333
2015,10,Chile,HPS,2,0,0.0
2015,10,Brazil,HPS,3,1,0.3333
2015,10,USA,HPS,0,0,0.0
2015,10,China,HFRS,316,1,0.0032
2015,10,Finland,HFRS,176,0,0.0
2015,10,Germany,HFRS,46,0,0.0
2015,11,Argentina,HPS,10,3,0.3
2015,11,Chile,HPS,3,0,0.0
2015,11,Brazil,HPS,3,1,0.3333
2015,11,USA,HPS,1,0,0.0
2015,11,China,HFRS,2358,20,0.0085
2015,11,Finland,HFRS,378,1,0.0026
2015,11,Germany,HFRS,40,0,0.0
2015,12,Argentina,HPS,4,1,0.25
2015,12,Chile,HPS,2,0,0.0
2015,12,Brazil,HPS,1,0,0.0
2015,12,USA,HPS,1,0,0.0
2015,12,China,HFRS,2900,9,0.0031
