strain,family,genus,genome_segments,reservoir_host,syndrome,geographic_range,cfr_range,h2h_transmission,genbank_accession,discovery_year,notes
Andes (ANDV),Hantaviridae,Orthohantavirus,"S, M, L",Oligoryzomys longicaudatus (Long-tailed pygmy rice rat),HPS/HCPS,"Argentina, Chile, Bolivia, Uruguay, Paraguay, Brazil",20-40%,Yes (unique among hantaviruses),AF291703,1995,Only hantavirus with confirmed human-to-human transmission
Sin Nombre (SNV),Hantaviridae,Orthohantavirus,"S, M, L",Peromyscus maniculatus (Deer mouse),HPS,"USA, Canada, Mexico",30-40%,No,L25784,1993,Most common HPS cause in North America; discovered in Four Corners outbreak
Hantaan (HTNV),Hantaviridae,Orthohantavirus,"S, M, L",Apodemus agrarius (Striped field mouse),HFRS (severe),"China, South Korea, Russia (Far East)",5-15%,No,M14626,1976,"Prototype hantavirus; named after Hantan River, Korea"
Seoul (SEOV),Hantaviridae,Orthohantavirus,"S, M, L",Rattus norvegicus (Brown rat),HFRS (mild-moderate),Worldwide (via rat commerce),1-2%,No,S47716,1980,Only globally distributed hantavirus via urban rat populations
Puumala (PUUV),Hantaviridae,Orthohantavirus,"S, M, L",Clethrionomys glareolus (Bank vole),HFRS (nephropathia epidemica),"Finland, Sweden, Germany, France, Belgium, Russia",0.1-0.4%,No,Z21497,1980,Most common European hantavirus; causes mild HFRS (nephropathia epidemica)
Dobrava-Belgrade (DOBV),Hantaviridae,Orthohantavirus,"S, M, L",Apodemus flavicollis (Yellow-necked mouse),HFRS (severe),"Balkans, Central/Eastern Europe",5-12%,No,L41916,1985,Most pathogenic European hantavirus
Choclo (CHOV),Hantaviridae,Orthohantavirus,"S, M, L",Oligoryzomys fulvescens (Fulvous pygmy rice rat),HPS,"Panama, Costa Rica",10-25%,No,DQ285046,2000,Central American HPS agent; lower CFR than other New World strains
Laguna Negra (LANV),Hantaviridae,Orthohantavirus,"S, M, L",Calomys laucha (Small vesper mouse),HPS,"Paraguay, Bolivia, Argentina (Chaco)",15-30%,No,AF005727,1997,Associated with HPS in Gran Chaco region
Black Creek Canal (BCCV),Hantaviridae,Orthohantavirus,"S, M, L",Sigmodon hispidus (Hispid cotton rat),HPS,USA (Florida),25-40%,No,L39949,1994,Rare strain; single confirmed fatal case in Florida
Prospect Hill (PHV),Hantaviridae,Orthohantavirus,"S, M, L",Microtus pennsylvanicus (Meadow vole),Non-pathogenic,"USA, Canada",N/A,No,M34011,1982,Non-pathogenic to humans; used as laboratory reference strain
